partner,style,share
carol,drop_everything,0.1083
carol,help_after_task,0.1250
carol,pair_up,0.1426
carol,teach,0.1343
carol,quick_tip,0.1750
carol,delegate,0.1269
carol,joke_deflect,0.0981
carol,polite_decline,0.0750
carol,ignore,0.0148
dave,drop_everything,0.1194
dave,help_after_task,0.1287
dave,pair_up,0.1472
dave,teach,0.1259
dave,quick_tip,0.1694
dave,delegate,0.1287
dave,joke_deflect,0.0880
dave,polite_decline,0.0759
dave,ignore,0.0167
bob,drop_everything,0.1194
bob,help_after_task,0.1194
bob,pair_up,0.1537
bob,teach,0.1398
bob,quick_tip,0.1509
bob,delegate,0.1148
bob,joke_deflect,0.1000
bob,polite_decline,0.0852
bob,ignore,0.0167
