circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-0.7269,-0.1070,-0.1894,0.2852,0.0000,0.7148
home,-0.7940,-0.1089,-0.1838,0.2713,0.0000,0.7287
conference,0.8495,-0.1077,-0.1851,0.6056,0.0000,0.3944
