episode,o,c,e,a,n
0,0.40000,-0.35000,0.25000,0.75000,-0.60000
30,0.40000,-0.35000,0.25000,0.75000,-0.60000
60,0.40000,-0.35000,0.25000,0.75000,-0.60000
90,0.40000,-0.35000,0.25000,0.75000,-0.60000
120,0.40000,-0.35000,0.25000,0.75000,-0.60000
