episode,circumstance,interactions,outcome
1,work,9,-0.6944
1,home,9,-0.5556
1,conference,9,1.5278
2,work,9,-0.8333
2,home,9,-0.1389
2,conference,9,0.9722
3,work,9,-0.9722
3,home,9,0.0000
3,conference,9,0.0000
4,work,9,1.1111
4,home,9,-0.8333
4,conference,9,0.5556
5,work,9,-0.8333
5,home,9,-1.2500
5,conference,9,0.1389
6,work,9,0.1389
6,home,9,0.2778
6,conference,9,0.1389
7,work,9,0.6944
7,home,9,-0.8333
7,conference,9,1.2500
8,work,9,-0.6944
8,home,9,0.4167
8,conference,9,0.4167
9,work,9,-1.8056
9,home,9,-0.6944
9,conference,9,0.6944
10,work,9,-0.2778
10,home,9,-1.8056
10,conference,9,1.2500
11,work,9,0.0000
11,home,9,-0.4167
11,conference,9,1.1111
12,work,9,-0.5556
12,home,9,1.5278
12,conference,9,0.5556
13,work,9,-1.9444
13,home,9,-0.8333
13,conference,9,0.2778
14,work,9,0.2778
14,home,9,1.1111
14,conference,9,1.6667
15,work,9,0.5556
15,home,9,-0.2778
15,conference,9,1.6667
16,work,9,-0.4167
16,home,9,-0.2778
16,conference,9,1.2500
17,work,9,0.0000
17,home,9,0.6944
17,conference,9,1.1111
18,work,9,-0.5556
18,home,9,-1.3889
18,conference,9,2.0833
19,work,9,-1.5278
19,home,9,-0.9722
19,conference,9,2.0833
20,work,9,0.2778
20,home,9,0.5556
20,conference,9,1.2500
21,work,9,0.2778
21,home,9,-0.6944
21,conference,9,1.2500
22,work,9,0.4167
22,home,9,0.1389
22,conference,9,1.2500
23,work,9,-0.9722
23,home,9,0.6944
23,conference,9,2.0833
24,work,9,1.1111
24,home,9,1.6667
24,conference,9,1.1111
25,work,9,-0.5556
25,home,9,-0.6944
25,conference,9,1.6667
26,work,9,0.5556
26,home,9,0.1389
26,conference,9,1.1111
27,work,9,-0.5556
27,home,9,0.1389
27,conference,9,1.1111
28,work,9,0.5556
28,home,9,0.5556
28,conference,9,2.0833
29,work,9,1.1111
29,home,9,-0.8333
29,conference,9,1.5278
30,work,9,0.5556
30,home,9,0.0000
30,conference,9,1.6667
31,work,9,0.8333
31,home,9,1.5278
31,conference,9,0.8333
32,work,9,-0.1389
32,home,9,0.9722
32,conference,9,1.1111
33,work,9,0.4167
33,home,9,1.2500
33,conference,9,0.2778
34,work,9,1.5278
34,home,9,1.1111
34,conference,9,1.5278
35,work,9,0.4167
35,home,9,-0.1389
35,conference,9,0.5556
36,work,9,0.5556
36,home,9,-0.1389
36,conference,9,0.8333
37,work,9,-0.1389
37,home,9,-0.4167
37,conference,9,1.6667
38,work,9,0.0000
38,home,9,0.1389
38,conference,9,1.2500
39,work,9,-0.1389
39,home,9,1.1111
39,conference,9,2.0833
40,work,9,0.0000
40,home,9,-0.9722
40,conference,9,0.4167
41,work,9,-0.1389
41,home,9,-0.9722
41,conference,9,1.6667
42,work,9,0.2778
42,home,9,-0.1389
42,conference,9,2.0833
43,work,9,-0.4167
43,home,9,0.5556
43,conference,9,0.6944
44,work,9,-0.2778
44,home,9,2.0833
44,conference,9,0.8333
45,work,9,1.6667
45,home,9,1.1111
