circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-1.0995,-0.1015,-0.1599,0.1287,0.3028,0.5685
home,-0.9097,-0.1033,-0.1602,0.1343,0.3676,0.4981
conference,-0.7130,-0.1030,-0.1608,0.1972,0.3204,0.4824
