partner,style,share
carol,drop_everything,0.1519
carol,help_after_task,0.1028
carol,pair_up,0.1963
carol,teach,0.2231
carol,quick_tip,0.2037
carol,delegate,0.0407
carol,joke_deflect,0.0815
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1593
dave,help_after_task,0.1102
dave,pair_up,0.1935
dave,teach,0.1972
dave,quick_tip,0.2111
dave,delegate,0.0519
dave,joke_deflect,0.0769
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1676
bob,help_after_task,0.1167
bob,pair_up,0.1935
bob,teach,0.1880
bob,quick_tip,0.2204
bob,delegate,0.0463
bob,joke_deflect,0.0676
bob,polite_decline,0.0000
bob,ignore,0.0000
