partner,style,share
carol,drop_everything,0.1241
carol,help_after_task,0.1537
carol,pair_up,0.1685
carol,teach,0.2009
carol,quick_tip,0.1963
carol,delegate,0.0796
carol,joke_deflect,0.0722
carol,polite_decline,0.0046
carol,ignore,0.0000
dave,drop_everything,0.1028
dave,help_after_task,0.1241
dave,pair_up,0.1843
dave,teach,0.2389
dave,quick_tip,0.1917
dave,delegate,0.0694
dave,joke_deflect,0.0824
dave,polite_decline,0.0065
dave,ignore,0.0000
bob,drop_everything,0.1176
bob,help_after_task,0.1417
bob,pair_up,0.1806
bob,teach,0.2102
bob,quick_tip,0.2000
bob,delegate,0.0722
bob,joke_deflect,0.0750
bob,polite_decline,0.0028
bob,ignore,0.0000
