circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-0.6782,-0.1178,-0.1439,0.1676,0.3935,0.4389
home,-0.4630,-0.1151,-0.1632,0.1972,0.4204,0.3824
conference,-0.1968,-0.1137,-0.1615,0.2657,0.3898,0.3444
