partner,style,share
carol,drop_everything,0.1546
carol,help_after_task,0.1009
carol,pair_up,0.1861
carol,teach,0.1944
carol,quick_tip,0.2343
carol,delegate,0.0370
carol,joke_deflect,0.0926
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1509
dave,help_after_task,0.1250
dave,pair_up,0.1935
dave,teach,0.1713
dave,quick_tip,0.2352
dave,delegate,0.0472
dave,joke_deflect,0.0769
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1713
bob,help_after_task,0.1037
bob,pair_up,0.2083
bob,teach,0.1704
bob,quick_tip,0.2065
bob,delegate,0.0444
bob,joke_deflect,0.0954
bob,polite_decline,0.0000
bob,ignore,0.0000
