circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-1.1366,-0.1023,-0.1588,0.1102,0.3250,0.5648
home,-0.7963,-0.1030,-0.1621,0.1537,0.3741,0.4722
conference,-0.6296,-0.1034,-0.1588,0.1935,0.3611,0.4454
