partner,style,share
carol,drop_everything,0.1630
carol,help_after_task,0.1037
carol,pair_up,0.1972
carol,teach,0.1815
carol,quick_tip,0.2157
carol,delegate,0.0509
carol,joke_deflect,0.0880
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1509
dave,help_after_task,0.0852
dave,pair_up,0.2120
dave,teach,0.2019
dave,quick_tip,0.2185
dave,delegate,0.0333
dave,joke_deflect,0.0981
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1741
bob,help_after_task,0.1074
bob,pair_up,0.2083
bob,teach,0.1731
bob,quick_tip,0.2028
bob,delegate,0.0306
bob,joke_deflect,0.1037
bob,polite_decline,0.0000
bob,ignore,0.0000
