partner,style,share
carol,drop_everything,0.1491
carol,help_after_task,0.1009
carol,pair_up,0.1546
carol,teach,0.1380
carol,quick_tip,0.1481
carol,delegate,0.1250
carol,joke_deflect,0.0907
carol,polite_decline,0.0870
carol,ignore,0.0065
dave,drop_everything,0.1352
dave,help_after_task,0.0861
dave,pair_up,0.1806
dave,teach,0.1444
dave,quick_tip,0.1546
dave,delegate,0.1037
dave,joke_deflect,0.0926
dave,polite_decline,0.0944
dave,ignore,0.0083
bob,drop_everything,0.1537
bob,help_after_task,0.1167
bob,pair_up,0.1537
bob,teach,0.1426
bob,quick_tip,0.1426
bob,delegate,0.1019
bob,joke_deflect,0.0833
bob,polite_decline,0.0907
bob,ignore,0.0148
