partner,style,share
carol,drop_everything,0.1444
carol,help_after_task,0.1111
carol,pair_up,0.2204
carol,teach,0.1833
carol,quick_tip,0.2093
carol,delegate,0.0389
carol,joke_deflect,0.0926
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1481
dave,help_after_task,0.1000
dave,pair_up,0.1954
dave,teach,0.1861
dave,quick_tip,0.2380
dave,delegate,0.0407
dave,joke_deflect,0.0917
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1546
bob,help_after_task,0.1009
bob,pair_up,0.2241
bob,teach,0.1889
bob,quick_tip,0.2139
bob,delegate,0.0463
bob,joke_deflect,0.0713
bob,polite_decline,0.0000
bob,ignore,0.0000
