episode,mask,o,c,e,a,n,norm
17,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
17,mask_work,-0.35573,0.07120,-0.37884,-0.37884,-0.23966,0.68999
17,mask_home,-0.25600,-0.35142,-0.23386,-0.37884,-0.27284,0.67947
17,mask_conference,-0.27544,-0.10112,-0.26681,-0.37884,-0.28932,0.62008
18,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18,mask_work,-0.36438,0.07260,-0.38853,-0.38853,-0.24551,0.70727
18,mask_home,-0.26388,-0.35902,-0.23959,-0.38853,-0.27881,0.69615
18,mask_conference,-0.27547,-0.10671,-0.27050,-0.38853,-0.29926,0.63321
19,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
19,mask_work,-0.37239,0.07378,-0.39745,-0.39745,-0.25083,0.72316
19,mask_home,-0.27105,-0.36592,-0.24485,-0.39745,-0.28440,0.71145
19,mask_conference,-0.27545,-0.11192,-0.27396,-0.39745,-0.30838,0.64538
20,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
20,mask_work,-0.37995,0.07467,-0.40565,-0.40565,-0.25562,0.73783
20,mask_home,-0.27775,-0.37193,-0.24972,-0.40565,-0.28949,0.72540
20,mask_conference,-0.27520,-0.11646,-0.27697,-0.40565,-0.31691,0.65650
21,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
21,mask_work,-0.38684,0.07541,-0.41320,-0.41320,-0.25999,0.75126
21,mask_home,-0.28366,-0.37736,-0.25380,-0.41320,-0.29431,0.73799
21,mask_conference,-0.27473,-0.12069,-0.27959,-0.41320,-0.32484,0.66668
22,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
22,mask_work,-0.39321,0.07609,-0.42014,-0.42014,-0.26400,0.76364
22,mask_home,-0.28975,-0.38185,-0.25809,-0.42014,-0.29834,0.74960
22,mask_conference,-0.27390,-0.12458,-0.28161,-0.42014,-0.33229,0.67586
23,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
23,mask_work,-0.39903,0.07675,-0.42653,-0.42653,-0.26771,0.77501
23,mask_home,-0.29525,-0.38561,-0.26194,-0.42653,-0.30219,0.76008
23,mask_conference,-0.27284,-0.12864,-0.28332,-0.42653,-0.33918,0.68428
24,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
24,mask_work,-0.40426,0.07739,-0.43241,-0.43241,-0.27117,0.78543
24,mask_home,-0.30073,-0.38832,-0.26580,-0.43241,-0.30553,0.76955
24,mask_conference,-0.27198,-0.13240,-0.28495,-0.43241,-0.34550,0.69213
25,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
25,mask_work,-0.40900,0.07791,-0.43782,-0.43782,-0.27433,0.79497
25,mask_home,-0.30591,-0.39044,-0.26961,-0.43782,-0.30862,0.77823
25,mask_conference,-0.27085,-0.13584,-0.28622,-0.43782,-0.35143,0.69923
26,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
26,mask_work,-0.41333,0.07851,-0.44279,-0.44279,-0.27731,0.80376
26,mask_home,-0.31090,-0.39202,-0.27339,-0.44279,-0.31140,0.78620
26,mask_conference,-0.26944,-0.13918,-0.28705,-0.44279,-0.35700,0.70561
27,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
27,mask_work,-0.41741,0.07897,-0.44737,-0.44737,-0.28000,0.81188
27,mask_home,-0.31530,-0.39339,-0.27657,-0.44737,-0.31406,0.79337
27,mask_conference,-0.26782,-0.14197,-0.28765,-0.44737,-0.36217,0.71129
28,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
28,mask_work,-0.42100,0.07948,-0.45158,-0.45158,-0.28256,0.81930
28,mask_home,-0.31945,-0.39423,-0.27966,-0.45158,-0.31653,0.79987
28,mask_conference,-0.26627,-0.14450,-0.28800,-0.45158,-0.36696,0.71645
29,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
29,mask_work,-0.42425,0.07991,-0.45545,-0.45545,-0.28499,0.82612
29,mask_home,-0.32305,-0.39484,-0.28214,-0.45545,-0.31893,0.80562
29,mask_conference,-0.26470,-0.14658,-0.28851,-0.45545,-0.37133,0.72119
30,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
30,mask_work,-0.42710,0.08034,-0.45902,-0.45902,-0.28732,0.83235
30,mask_home,-0.32609,-0.39548,-0.28417,-0.45902,-0.32132,0.81082
30,mask_conference,-0.26322,-0.14856,-0.28891,-0.45902,-0.37536,0.72554
31,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
31,mask_work,-0.42949,0.08084,-0.46230,-0.46230,-0.28958,0.83802
31,mask_home,-0.32872,-0.39577,-0.28580,-0.46230,-0.32366,0.81538
31,mask_conference,-0.26176,-0.15045,-0.28914,-0.46230,-0.37909,0.72951
32,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
32,mask_work,-0.43145,0.08137,-0.46531,-0.46531,-0.29176,0.84316
32,mask_home,-0.33083,-0.39583,-0.28688,-0.46531,-0.32601,0.81929
32,mask_conference,-0.26042,-0.15202,-0.28948,-0.46531,-0.38250,0.73318
33,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
33,mask_work,-0.43313,0.08187,-0.46809,-0.46809,-0.29382,0.84785
33,mask_home,-0.33270,-0.39570,-0.28776,-0.46809,-0.32825,0.82276
33,mask_conference,-0.25931,-0.15333,-0.29004,-0.46809,-0.38557,0.73664
34,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
34,mask_work,-0.43477,0.08223,-0.47064,-0.47064,-0.29571,0.85219
34,mask_home,-0.33416,-0.39554,-0.28828,-0.47064,-0.33047,0.82579
34,mask_conference,-0.25803,-0.15448,-0.29029,-0.47064,-0.38849,0.73968
35,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
35,mask_work,-0.43621,0.08251,-0.47299,-0.47299,-0.29747,0.85616
35,mask_home,-0.33535,-0.39516,-0.28860,-0.47299,-0.33265,0.82842
35,mask_conference,-0.25673,-0.15533,-0.29060,-0.47299,-0.39117,0.74244
36,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
36,mask_work,-0.43737,0.08290,-0.47515,-0.47515,-0.29923,0.85979
36,mask_home,-0.33653,-0.39485,-0.28910,-0.47515,-0.33463,0.83095
36,mask_conference,-0.25537,-0.15602,-0.29075,-0.47515,-0.39369,0.74488
