partner,style,share
carol,drop_everything,0.1426
carol,help_after_task,0.1250
carol,pair_up,0.1231
carol,teach,0.1287
carol,quick_tip,0.1435
carol,delegate,0.1259
carol,joke_deflect,0.1056
carol,polite_decline,0.0944
carol,ignore,0.0111
dave,drop_everything,0.1111
dave,help_after_task,0.1139
dave,pair_up,0.1278
dave,teach,0.1491
dave,quick_tip,0.1722
dave,delegate,0.1241
dave,joke_deflect,0.0926
dave,polite_decline,0.0926
dave,ignore,0.0167
bob,drop_everything,0.1324
bob,help_after_task,0.1148
bob,pair_up,0.1426
bob,teach,0.1259
bob,quick_tip,0.1593
bob,delegate,0.1222
bob,joke_deflect,0.1074
bob,polite_decline,0.0815
bob,ignore,0.0139
