circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-1.2523,-0.1031,-0.1620,0.1120,0.2750,0.6130
home,-0.7708,-0.1031,-0.1569,0.1611,0.3694,0.4694
conference,-0.7106,-0.1021,-0.1638,0.1926,0.3306,0.4769
