partner,style,share
carol,drop_everything,0.1611
carol,help_after_task,0.1102
carol,pair_up,0.1852
carol,teach,0.1917
carol,quick_tip,0.2167
carol,delegate,0.0519
carol,joke_deflect,0.0833
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1843
dave,help_after_task,0.1083
dave,pair_up,0.1852
dave,teach,0.1926
dave,quick_tip,0.2009
dave,delegate,0.0426
dave,joke_deflect,0.0861
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1694
bob,help_after_task,0.0833
bob,pair_up,0.2102
bob,teach,0.1889
bob,quick_tip,0.2269
bob,delegate,0.0343
bob,joke_deflect,0.0870
bob,polite_decline,0.0000
bob,ignore,0.0000
