partner,style,share
carol,drop_everything,0.1296
carol,help_after_task,0.1167
carol,pair_up,0.1194
carol,teach,0.1509
carol,quick_tip,0.1454
carol,delegate,0.1231
carol,joke_deflect,0.1176
carol,polite_decline,0.0778
carol,ignore,0.0194
dave,drop_everything,0.1417
dave,help_after_task,0.1296
dave,pair_up,0.1398
dave,teach,0.1213
dave,quick_tip,0.1583
dave,delegate,0.1148
dave,joke_deflect,0.1037
dave,polite_decline,0.0787
dave,ignore,0.0120
bob,drop_everything,0.1333
bob,help_after_task,0.1074
bob,pair_up,0.1426
bob,teach,0.1287
bob,quick_tip,0.1574
bob,delegate,0.1259
bob,joke_deflect,0.1037
bob,polite_decline,0.0889
bob,ignore,0.0120
