partner,style,share
carol,drop_everything,0.1417
carol,help_after_task,0.1009
carol,pair_up,0.1435
carol,teach,0.1389
carol,quick_tip,0.1593
carol,delegate,0.1315
carol,joke_deflect,0.0898
carol,polite_decline,0.0870
carol,ignore,0.0074
dave,drop_everything,0.1315
dave,help_after_task,0.1278
dave,pair_up,0.1537
dave,teach,0.1407
dave,quick_tip,0.1333
dave,delegate,0.1269
dave,joke_deflect,0.1065
dave,polite_decline,0.0769
dave,ignore,0.0028
bob,drop_everything,0.1537
bob,help_after_task,0.1037
bob,pair_up,0.1611
bob,teach,0.1481
bob,quick_tip,0.1380
bob,delegate,0.0907
bob,joke_deflect,0.1019
bob,polite_decline,0.0981
bob,ignore,0.0046
