partner,style,share
carol,drop_everything,0.1574
carol,help_after_task,0.0602
carol,pair_up,0.2593
carol,teach,0.1954
carol,quick_tip,0.1139
carol,delegate,0.0074
carol,joke_deflect,0.2065
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1815
dave,help_after_task,0.0593
dave,pair_up,0.2648
dave,teach,0.1778
dave,quick_tip,0.1037
dave,delegate,0.0046
dave,joke_deflect,0.2083
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1648
bob,help_after_task,0.0676
bob,pair_up,0.2444
bob,teach,0.1935
bob,quick_tip,0.0963
bob,delegate,0.0056
bob,joke_deflect,0.2278
bob,polite_decline,0.0000
bob,ignore,0.0000
