circumstance,style,early_pct,late_pct,shift
work,drop_everything,0.1759,0.0787,-0.0972
work,help_after_task,0.0741,0.1204,0.0463
work,pair_up,0.3056,0.2130,-0.0926
work,teach,0.1759,0.2917,0.1157
work,quick_tip,0.0880,0.0833,-0.0046
work,delegate,0.0000,0.0000,0.0000
work,joke_deflect,0.1806,0.2130,0.0324
work,polite_decline,0.0000,0.0000,0.0000
work,ignore,0.0000,0.0000,0.0000
home,drop_everything,0.2361,0.2454,0.0093
home,help_after_task,0.0046,0.0000,-0.0046
home,pair_up,0.2593,0.2824,0.0231
home,teach,0.1667,0.1435,-0.0231
home,quick_tip,0.1111,0.1111,0.0000
home,delegate,0.0000,0.0000,0.0000
home,joke_deflect,0.2222,0.2176,-0.0046
home,polite_decline,0.0000,0.0000,0.0000
home,ignore,0.0000,0.0000,0.0000
conference,drop_everything,0.2176,0.1065,-0.1111
conference,help_after_task,0.0324,0.0509,0.0185
conference,pair_up,0.2176,0.2963,0.0787
conference,teach,0.1528,0.1991,0.0463
conference,quick_tip,0.1389,0.1250,-0.0139
conference,delegate,0.0000,0.0324,0.0324
conference,joke_deflect,0.2407,0.1898,-0.0509
conference,polite_decline,0.0000,0.0000,0.0000
conference,ignore,0.0000,0.0000,0.0000
