circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-1.2500,-0.1131,-0.1654,0.1185,0.2630,0.6185
home,0.0694,-0.1014,-0.1747,0.3852,0.2574,0.3574
conference,-0.2130,-0.1093,-0.1568,0.3352,0.2444,0.4204
