circumstance,style,early_pct,late_pct,shift
work,deep_work,0.1991,0.3611,0.1620
work,handle_backlog,0.0185,0.0880,0.0694
work,quick_scan,0.0231,0.0000,-0.0231
work,tidy_up,0.1065,0.1435,0.0370
work,rest_deeply,0.1296,0.0463,-0.0833
work,zone_out,0.0000,0.0000,0.0000
work,take_notes,0.1667,0.2500,0.0833
work,network_actively,0.3565,0.1111,-0.2454
work,step_away,0.0000,0.0000,0.0000
home,deep_work,0.0926,0.0093,-0.0833
home,handle_backlog,0.0000,0.0000,0.0000
home,quick_scan,0.0602,0.0556,-0.0046
home,tidy_up,0.1296,0.0509,-0.0787
home,rest_deeply,0.1852,0.3657,0.1806
home,zone_out,0.0000,0.2685,0.2685
home,take_notes,0.1204,0.0000,-0.1204
home,network_actively,0.4120,0.2083,-0.2037
home,step_away,0.0000,0.0417,0.0417
conference,deep_work,0.0370,0.0463,0.0093
conference,handle_backlog,0.0000,0.0000,0.0000
conference,quick_scan,0.1389,0.1806,0.0417
conference,tidy_up,0.0602,0.0000,-0.0602
conference,rest_deeply,0.0972,0.0093,-0.0880
conference,zone_out,0.0000,0.0000,0.0000
conference,take_notes,0.0741,0.0694,-0.0046
conference,network_actively,0.5926,0.6944,0.1019
conference,step_away,0.0000,0.0000,0.0000
