update,episode,circumstance,mask,partner,style,outcome,chosen_regret,o,c,e,a,n,step_o,step_c,step_e,step_a,step_n
1,1,work,mask_work,environment,network_actively,failed,-1.2101,-0.00046,0.00105,-0.00371,-0.00172,0.00026,-0.000465,0.001055,-0.003714,-0.001716,0.000263
2,1,work,mask_work,environment,network_actively,failed,-1.2162,-0.00093,0.00212,-0.00744,-0.00343,0.00052,-0.000460,0.001067,-0.003725,-0.001716,0.000254
3,1,work,mask_work,environment,network_actively,delayed,-0.6147,-0.00119,0.00259,-0.00929,-0.00428,0.00068,-0.000266,0.000470,-0.001854,-0.000849,0.000164
4,1,work,mask_work,environment,network_actively,failed,-1.2252,-0.00165,0.00368,-0.01303,-0.00600,0.00092,-0.000454,0.001085,-0.003741,-0.001717,0.000241
5,1,work,mask_work,environment,network_actively,failed,-1.2313,-0.00210,0.00477,-0.01678,-0.00772,0.00116,-0.000450,0.001097,-0.003751,-0.001717,0.000233
6,1,work,mask_work,environment,tidy_up,failed,-1.1890,-0.00209,0.00510,-0.01960,-0.00914,0.00157,0.000005,0.000326,-0.002817,-0.001426,0.000418
7,1,work,mask_work,environment,network_actively,delayed,-0.4359,-0.00193,0.00493,-0.02091,-0.00987,0.00193,0.000156,-0.000173,-0.001305,-0.000731,0.000360
8,1,work,mask_work,environment,rest_deeply,goal_achieved,3.5536,-0.00244,0.00455,-0.02489,-0.01138,0.00262,-0.000501,-0.000376,-0.003978,-0.001506,0.000683
9,1,work,mask_work,environment,network_actively,failed,-1.3750,-0.00300,0.00438,-0.02951,-0.01317,0.00332,-0.000563,-0.000171,-0.004627,-0.001795,0.000705
10,1,home,mask_home,environment,rest_deeply,delayed,-0.9742,0.00018,0.00015,0.00073,0.00012,-0.00005,0.000184,0.000153,0.000726,0.000117,-0.000048
11,1,home,mask_home,environment,network_actively,goal_achieved,1.3449,0.00076,-0.00089,0.00519,0.00197,-0.00028,0.000574,-0.001040,0.004462,0.001850,-0.000230
12,1,home,mask_home,environment,rest_deeply,goal_achieved,1.0168,0.00057,-0.00277,0.00754,0.00351,-0.00013,-0.000188,-0.001885,0.002348,0.001543,0.000146
13,1,home,mask_home,environment,network_actively,failed,-1.2720,-0.00003,-0.00189,0.00350,0.00174,0.00022,-0.000602,0.000882,-0.004040,-0.001765,0.000348
14,1,home,mask_home,environment,network_actively,goal_achieved,1.1109,0.00016,-0.00334,0.00689,0.00344,0.00017,0.000196,-0.001453,0.003396,0.001694,-0.000047
15,1,home,mask_home,environment,network_actively,delayed,-0.6783,-0.00024,-0.00304,0.00471,0.00254,0.00042,-0.000402,0.000301,-0.002185,-0.000901,0.000247
16,1,home,mask_home,environment,network_actively,delayed,-0.6801,-0.00064,-0.00274,0.00252,0.00164,0.00066,-0.000402,0.000302,-0.002189,-0.000901,0.000246
17,1,home,mask_home,environment,network_actively,failed,-1.2795,-0.00124,-0.00185,-0.00154,-0.00013,0.00100,-0.000602,0.000888,-0.004054,-0.001765,0.000342
18,1,home,mask_home,environment,deep_work,failed,-2.3246,-0.00189,-0.00280,-0.00151,0.00011,0.00164,-0.000651,-0.000953,0.000026,0.000241,0.000633
19,1,conference,mask_conference,environment,network_actively,goal_achieved,1.1944,0.00032,-0.00133,0.00376,0.00175,-0.00010,0.000317,-0.001331,0.003764,0.001749,-0.000099
20,1,conference,mask_conference,environment,network_actively,goal_achieved,1.1871,0.00064,-0.00264,0.00751,0.00349,-0.00021,0.000323,-0.001313,0.003749,0.001746,-0.000109
21,1,conference,mask_conference,environment,quick_scan,delayed,-2.3240,0.00113,-0.00362,0.01114,0.00546,-0.00070,0.000487,-0.000981,0.003624,0.001965,-0.000497
22,1,conference,mask_conference,environment,network_actively,delayed,-0.4667,0.00101,-0.00287,0.00920,0.00484,-0.00090,-0.000117,0.000756,-0.001936,-0.000625,-0.000192
23,1,conference,mask_conference,environment,network_actively,goal_achieved,1.3102,0.00150,-0.00385,0.01282,0.00680,-0.00140,0.000489,-0.000977,0.003621,0.001965,-0.000500
24,1,conference,mask_conference,environment,rest_deeply,goal_achieved,1.6338,0.00134,-0.00494,0.01365,0.00791,-0.00158,-0.000162,-0.001090,0.000823,0.001112,-0.000181
25,1,conference,mask_conference,environment,network_actively,delayed,-0.7625,0.00071,-0.00474,0.01031,0.00708,-0.00152,-0.000622,0.000196,-0.003336,-0.000830,0.000058
26,1,conference,mask_conference,environment,quick_scan,goal_achieved,1.5113,-0.00002,-0.00653,0.01062,0.00713,-0.00051,-0.000734,-0.001786,0.000309,0.000047,0.001006
27,1,conference,mask_conference,environment,take_notes,goal_achieved,1.3090,-0.00008,-0.00697,0.00975,0.00711,-0.00024,-0.000065,-0.000440,-0.000863,-0.000022,0.000277
28,2,work,mask_work,environment,network_actively,failed,-1.3832,-0.00356,0.00421,-0.03416,-0.01497,0.00402,-0.000564,-0.000176,-0.004643,-0.001795,0.000703
29,2,work,mask_work,environment,network_actively,delayed,-0.7639,-0.00395,0.00339,-0.03690,-0.01589,0.00467,-0.000386,-0.000820,-0.002747,-0.000926,0.000643
30,2,work,mask_work,environment,network_actively,failed,-1.3966,-0.00452,0.00320,-0.04157,-0.01769,0.00537,-0.000569,-0.000186,-0.004671,-0.001795,0.000703
31,2,work,mask_work,environment,network_actively,failed,-1.4048,-0.00509,0.00301,-0.04626,-0.01948,0.00607,-0.000570,-0.000191,-0.004687,-0.001795,0.000702
32,2,work,mask_work,environment,network_actively,failed,-1.4130,-0.00566,0.00281,-0.05096,-0.02128,0.00677,-0.000571,-0.000197,-0.004702,-0.001794,0.000701
33,2,work,mask_work,environment,take_notes,goal_achieved,3.1055,-0.00570,0.00338,-0.05624,-0.02328,0.00730,-0.000042,0.000572,-0.005283,-0.002006,0.000529
34,2,work,mask_work,environment,tidy_up,goal_achieved,2.7406,-0.00660,0.00529,-0.06264,-0.02551,0.00741,-0.000898,0.001908,-0.006397,-0.002229,0.000108
35,2,work,mask_work,environment,rest_deeply,goal_achieved,3.0635,-0.00706,0.00654,-0.06850,-0.02763,0.00772,-0.000460,0.001249,-0.005861,-0.002116,0.000312
36,2,work,mask_work,environment,rest_deeply,failed,-1.2702,-0.00634,0.00924,-0.07149,-0.02937,0.00738,0.000717,0.002701,-0.002984,-0.001744,-0.000336
37,2,home,mask_home,environment,rest_deeply,goal_achieved,2.7436,-0.00293,-0.00419,-0.00256,0.00019,0.00246,-0.001039,-0.001386,-0.001046,0.000083,0.000827
38,2,home,mask_home,environment,network_actively,failed,-1.1539,-0.00405,-0.00431,-0.00601,-0.00106,0.00332,-0.001115,-0.000122,-0.003457,-0.001259,0.000857
39,2,home,mask_home,environment,rest_deeply,goal_achieved,2.8926,-0.00514,-0.00557,-0.00753,-0.00119,0.00417,-0.001094,-0.001255,-0.001513,-0.000126,0.000853
40,2,home,mask_home,environment,network_actively,goal_achieved,1.2080,-0.00552,-0.00809,-0.00371,0.00098,0.00467,-0.000376,-0.002524,0.003817,0.002167,0.000501
41,2,home,mask_home,environment,network_actively,goal_achieved,1.1930,-0.00587,-0.01056,0.00006,0.00312,0.00515,-0.000355,-0.002472,0.003772,0.002147,0.000472
42,2,home,mask_home,environment,deep_work,goal_achieved,1.9293,-0.00591,-0.01024,-0.00176,0.00247,0.00496,-0.000040,0.000327,-0.001822,-0.000654,-0.000187
43,2,home,mask_home,environment,network_actively,goal_achieved,0.9839,-0.00589,-0.01184,0.00105,0.00407,0.00498,0.000022,-0.001610,0.002809,0.001598,0.000020
44,2,home,mask_home,environment,quick_scan,delayed,-1.3382,-0.00609,-0.01213,0.00041,0.00434,0.00482,-0.000198,-0.000286,-0.000641,0.000276,-0.000163
45,2,home,mask_home,environment,network_actively,failed,-1.2556,-0.00676,-0.01121,-0.00430,0.00273,0.00491,-0.000671,0.000920,-0.004708,-0.001613,0.000094
46,2,conference,mask_conference,environment,network_actively,goal_achieved,0.5649,0.00010,-0.00808,0.01111,0.00812,-0.00009,0.000183,-0.001118,0.001351,0.001012,0.000145
47,2,conference,mask_conference,environment,rest_deeply,failed,-3.0394,0.00109,-0.00752,0.01345,0.00869,-0.00034,0.000994,0.000568,0.002349,0.000570,-0.000250
48,2,conference,mask_conference,environment,network_actively,goal_achieved,0.8625,0.00178,-0.00806,0.01622,0.00991,-0.00045,0.000692,-0.000549,0.002762,0.001220,-0.000113
49,2,conference,mask_conference,environment,network_actively,goal_achieved,0.8589,0.00248,-0.00861,0.01897,0.01113,-0.00057,0.000692,-0.000543,0.002754,0.001218,-0.000119
50,2,conference,mask_conference,environment,network_actively,goal_achieved,0.8552,0.00317,-0.00914,0.02172,0.01234,-0.00070,0.000692,-0.000537,0.002745,0.001217,-0.000124
51,2,conference,mask_conference,environment,quick_scan,failed,-3.2430,0.00413,-0.00851,0.02298,0.01358,-0.00172,0.000958,0.000632,0.001267,0.001235,-0.001020
52,2,conference,mask_conference,environment,network_actively,goal_achieved,0.9661,0.00495,-0.00878,0.02563,0.01499,-0.00217,0.000827,-0.000268,0.002652,0.001413,-0.000451
53,2,conference,mask_conference,environment,quick_scan,goal_achieved,1.1570,0.00527,-0.00946,0.02742,0.01533,-0.00164,0.000317,-0.000684,0.001783,0.000341,0.000529
54,2,conference,mask_conference,environment,rest_deeply,goal_achieved,1.1232,0.00538,-0.01011,0.02762,0.01588,-0.00156,0.000111,-0.000646,0.000202,0.000546,0.000079
55,3,work,mask_work,environment,network_actively,goal_achieved,0.9095,-0.00579,0.00844,-0.06910,-0.02811,0.00737,0.000554,-0.000802,0.002389,0.001268,-0.000013
56,3,work,mask_work,environment,take_notes,delayed,-0.4016,-0.00656,0.00855,-0.07185,-0.02919,0.00769,-0.000769,0.000115,-0.002755,-0.001083,0.000315
57,3,work,mask_work,environment,network_actively,goal_achieved,1.1242,-0.00638,0.00703,-0.06867,-0.02759,0.00779,0.000173,-0.001520,0.003187,0.001597,0.000103
58,3,work,mask_work,environment,take_notes,goal_achieved,2.7753,-0.00636,0.00841,-0.07254,-0.02912,0.00786,0.000027,0.001380,-0.003870,-0.001527,0.000075
59,3,work,mask_work,environment,deep_work,goal_achieved,2.5251,-0.00610,0.01035,-0.07700,-0.03110,0.00747,0.000251,0.001934,-0.004466,-0.001982,-0.000395
60,3,work,mask_work,environment,tidy_up,delayed,-0.9787,-0.00561,0.01196,-0.08121,-0.03304,0.00717,0.000493,0.001615,-0.004209,-0.001938,-0.000302
61,3,work,mask_work,environment,network_actively,goal_achieved,0.8246,-0.00476,0.01158,-0.07933,-0.03223,0.00673,0.000852,-0.000379,0.001885,0.000813,-0.000433
62,3,work,mask_work,environment,quick_scan,delayed,-0.9495,-0.00424,0.01358,-0.08345,-0.03386,0.00604,0.000515,0.001994,-0.004127,-0.001635,-0.000698
63,3,work,mask_work,environment,take_notes,delayed,-0.8265,-0.00424,0.01461,-0.08652,-0.03506,0.00549,0.000004,0.001032,-0.003063,-0.001201,-0.000551
64,3,home,mask_home,environment,rest_deeply,goal_achieved,2.4398,-0.00720,-0.01162,-0.00587,0.00275,0.00488,-0.000445,-0.000405,-0.001566,0.000021,-0.000034
65,3,home,mask_home,environment,take_notes,failed,-2.4097,-0.00793,-0.01271,-0.00601,0.00323,0.00492,-0.000721,-0.001097,-0.000144,0.000484,0.000047
66,3,home,mask_home,environment,tidy_up,goal_achieved,2.4508,-0.00902,-0.01317,-0.00671,0.00360,0.00477,-0.001098,-0.000459,-0.000701,0.000363,-0.000157
67,3,home,mask_home,environment,network_actively,failed,-1.2330,-0.01055,-0.01252,-0.01113,0.00224,0.00483,-0.001529,0.000648,-0.004422,-0.001356,0.000068
68,3,home,mask_home,environment,network_actively,delayed,-0.6426,-0.01188,-0.01243,-0.01371,0.00174,0.00479,-0.001327,0.000094,-0.002576,-0.000498,-0.000044
69,3,home,mask_home,environment,quick_scan,failed,-2.1497,-0.01290,-0.01246,-0.01497,0.00213,0.00429,-0.001016,-0.000027,-0.001265,0.000381,-0.000499
70,3,home,mask_home,environment,tidy_up,goal_achieved,2.6562,-0.01399,-0.01264,-0.01619,0.00239,0.00398,-0.001098,-0.000182,-0.001213,0.000270,-0.000311
71,3,home,mask_home,environment,rest_deeply,goal_achieved,2.7001,-0.01526,-0.01301,-0.01786,0.00260,0.00375,-0.001265,-0.000365,-0.001670,0.000202,-0.000228
72,3,home,mask_home,environment,quick_scan,failed,-2.1741,-0.01632,-0.01306,-0.01922,0.00296,0.00327,-0.001058,-0.000058,-0.001362,0.000364,-0.000480
73,3,conference,mask_conference,environment,network_actively,goal_achieved,0.7817,0.00595,-0.01072,0.02985,0.01708,-0.00172,0.000568,-0.000615,0.002227,0.001202,-0.000158
74,3,conference,mask_conference,environment,network_actively,goal_achieved,0.7793,0.00652,-0.01133,0.03207,0.01828,-0.00188,0.000569,-0.000607,0.002220,0.001201,-0.000164
75,3,conference,mask_conference,environment,network_actively,goal_achieved,0.7768,0.00709,-0.01193,0.03428,0.01948,-0.00205,0.000570,-0.000599,0.002214,0.001200,-0.000170
76,3,conference,mask_conference,environment,network_actively,delayed,-0.9381,0.00701,-0.01095,0.03107,0.01811,-0.00182,-0.000083,0.000981,-0.003208,-0.001372,0.000235
77,3,conference,mask_conference,environment,network_actively,goal_achieved,0.7780,0.00758,-0.01155,0.03329,0.01931,-0.00198,0.000569,-0.000604,0.002217,0.001201,-0.000166
78,3,conference,mask_conference,environment,network_actively,goal_achieved,0.7756,0.00815,-0.01215,0.03550,0.02051,-0.00216,0.000570,-0.000596,0.002210,0.001199,-0.000172
79,3,conference,mask_conference,environment,network_actively,goal_achieved,0.7732,0.00872,-0.01274,0.03770,0.02171,-0.00233,0.000571,-0.000589,0.002204,0.001198,-0.000178
80,3,conference,mask_conference,environment,network_actively,goal_achieved,0.7708,0.00929,-0.01332,0.03990,0.02290,-0.00252,0.000572,-0.000581,0.002197,0.001197,-0.000184
81,3,conference,mask_conference,environment,rest_deeply,failed,-3.3751,0.01039,-0.01297,0.04306,0.02396,-0.00294,0.001105,0.000354,0.003159,0.001055,-0.000420
82,4,work,mask_work,environment,network_actively,delayed,-1.0095,-0.00384,0.01639,-0.09040,-0.03661,0.00481,0.000403,0.001775,-0.003882,-0.001545,-0.000671
83,4,work,mask_work,environment,tidy_up,failed,-2.1048,-0.00303,0.01760,-0.09384,-0.03808,0.00432,0.000811,0.001211,-0.003437,-0.001469,-0.000499
84,4,work,mask_work,environment,rest_deeply,delayed,-0.5647,-0.00200,0.01990,-0.09646,-0.03948,0.00339,0.001025,0.002308,-0.002624,-0.001406,-0.000927
85,4,work,mask_work,environment,network_actively,failed,-1.6037,-0.00148,0.02247,-0.10194,-0.04187,0.00266,0.000520,0.002566,-0.005486,-0.002391,-0.000726
86,4,work,mask_work,environment,rest_deeply,failed,-1.6310,-0.00013,0.02527,-0.10404,-0.04328,0.00153,0.001352,0.002799,-0.002092,-0.001410,-0.001127
87,4,work,mask_work,environment,take_notes,delayed,-0.6434,0.00027,0.02661,-0.10656,-0.04450,0.00083,0.000402,0.001339,-0.002523,-0.001220,-0.000705
88,4,work,mask_work,environment,rest_deeply,goal_achieved,2.7086,0.00034,0.02767,-0.11125,-0.04617,0.00043,0.000068,0.001057,-0.004693,-0.001672,-0.000400
89,4,work,mask_work,environment,quick_scan,delayed,-0.7521,0.00098,0.02948,-0.11471,-0.04772,-0.00031,0.000638,0.001814,-0.003454,-0.001542,-0.000737
90,4,work,mask_work,environment,network_actively,goal_achieved,1.1941,0.00200,0.02896,-0.11210,-0.04661,-0.00095,0.001022,-0.000523,0.002608,0.001103,-0.000638
91,4,home,mask_home,environment,quick_scan,goal_achieved,2.3033,-0.01798,-0.01436,-0.02012,0.00246,0.00427,-0.001669,-0.001294,-0.000896,-0.000505,0.000998
92,4,home,mask_home,environment,take_notes,failed,-2.5035,-0.01924,-0.01480,-0.02135,0.00254,0.00425,-0.001250,-0.000443,-0.001234,0.000088,-0.000018
93,4,home,mask_home,environment,deep_work,delayed,-1.2749,-0.02067,-0.01566,-0.02213,0.00290,0.00445,-0.001439,-0.000859,-0.000779,0.000355,0.000201
94,4,home,mask_home,environment,rest_deeply,delayed,-0.6279,-0.02130,-0.01546,-0.02131,0.00335,0.00416,-0.000624,0.000198,0.000815,0.000452,-0.000292
95,4,home,mask_home,environment,network_actively,failed,-1.2280,-0.02291,-0.01494,-0.02545,0.00205,0.00435,-0.001607,0.000519,-0.004137,-0.001302,0.000194
96,4,home,mask_home,environment,network_actively,failed,-1.2363,-0.02452,-0.01442,-0.02960,0.00075,0.00454,-0.001617,0.000522,-0.004151,-0.001302,0.000191
97,4,home,mask_home,environment,take_notes,failed,-2.2706,-0.02581,-0.01476,-0.03088,0.00076,0.00458,-0.001291,-0.000341,-0.001279,0.000011,0.000033
98,4,home,mask_home,environment,rest_deeply,goal_achieved,2.7617,-0.02735,-0.01537,-0.03283,0.00067,0.00473,-0.001534,-0.000614,-0.001948,-0.000086,0.000156
99,4,home,mask_home,environment,quick_scan,delayed,-0.8499,-0.02864,-0.01567,-0.03424,0.00072,0.00469,-0.001290,-0.000297,-0.001409,0.000049,-0.000042
100,4,conference,mask_conference,environment,network_actively,goal_achieved,0.8608,0.01113,-0.01337,0.04571,0.02523,-0.00321,0.000732,-0.000404,0.002649,0.001267,-0.000268
101,4,conference,mask_conference,environment,network_actively,goal_achieved,0.8576,0.01186,-0.01377,0.04835,0.02649,-0.00348,0.000732,-0.000398,0.002640,0.001266,-0.000274
102,4,conference,mask_conference,environment,quick_scan,failed,-3.3928,0.01288,-0.01320,0.04999,0.02795,-0.00460,0.001019,0.000568,0.001640,0.001459,-0.001124
103,4,conference,mask_conference,environment,tidy_up,failed,-3.6250,0.01393,-0.01381,0.05232,0.02907,-0.00481,0.001051,-0.000613,0.002328,0.001116,-0.000201
104,4,conference,mask_conference,environment,take_notes,goal_achieved,1.3360,0.01498,-0.01442,0.05464,0.03018,-0.00501,0.001048,-0.000605,0.002321,0.001116,-0.000206
105,4,conference,mask_conference,environment,network_actively,goal_achieved,1.0690,0.01612,-0.01524,0.05775,0.03168,-0.00529,0.001146,-0.000822,0.003111,0.001499,-0.000282
106,4,conference,mask_conference,environment,network_actively,delayed,-0.5978,0.01659,-0.01457,0.05555,0.03062,-0.00511,0.000468,0.000670,-0.002197,-0.001058,0.000186
107,4,conference,mask_conference,environment,quick_scan,delayed,-2.0724,0.01775,-0.01485,0.05762,0.03187,-0.00563,0.001160,-0.000284,0.002074,0.001242,-0.000526
108,4,conference,mask_conference,environment,rest_deeply,goal_achieved,1.3198,0.01833,-0.01582,0.05838,0.03272,-0.00568,0.000579,-0.000970,0.000757,0.000855,-0.000043
109,5,work,mask_work,environment,deep_work,goal_achieved,2.6170,0.00267,0.03065,-0.11522,-0.04801,-0.00168,0.000666,0.001694,-0.003124,-0.001402,-0.000736
110,5,work,mask_work,environment,rest_deeply,delayed,-0.6385,0.00370,0.03284,-0.11757,-0.04934,-0.00264,0.001035,0.002191,-0.002349,-0.001327,-0.000957
111,5,work,mask_work,environment,rest_deeply,failed,-1.7232,0.00505,0.03547,-0.11927,-0.05061,-0.00379,0.001354,0.002625,-0.001696,-0.001268,-0.001150
112,5,work,mask_work,environment,deep_work,delayed,-0.5844,0.00502,0.03560,-0.12023,-0.05081,-0.00366,-0.000030,0.000130,-0.000962,-0.000204,0.000126
113,5,work,mask_work,environment,take_notes,delayed,-0.5962,0.00522,0.03629,-0.12180,-0.05153,-0.00409,0.000194,0.000696,-0.001566,-0.000721,-0.000428
114,5,work,mask_work,environment,rest_deeply,goal_achieved,2.7741,0.00500,0.03655,-0.12541,-0.05265,-0.00417,-0.000214,0.000255,-0.003612,-0.001112,-0.000075
115,5,work,mask_work,environment,deep_work,goal_achieved,2.6469,0.00570,0.03825,-0.12834,-0.05403,-0.00494,0.000697,0.001703,-0.002937,-0.001382,-0.000774
116,5,work,mask_work,environment,deep_work,delayed,-0.5974,0.00553,0.03816,-0.12935,-0.05420,-0.00475,-0.000167,-0.000088,-0.001009,-0.000171,0.000194
117,5,work,mask_work,environment,rest_deeply,failed,-1.5074,0.00652,0.04002,-0.13021,-0.05497,-0.00552,0.000983,0.001860,-0.000857,-0.000771,-0.000774
