partner,style,share
carol,drop_everything,0.1222
carol,help_after_task,0.0991
carol,pair_up,0.1407
carol,teach,0.1380
carol,quick_tip,0.1685
carol,delegate,0.1306
carol,joke_deflect,0.0898
carol,polite_decline,0.0935
carol,ignore,0.0176
dave,drop_everything,0.1296
dave,help_after_task,0.1222
dave,pair_up,0.1435
dave,teach,0.1324
dave,quick_tip,0.1574
dave,delegate,0.1296
dave,joke_deflect,0.1000
dave,polite_decline,0.0741
dave,ignore,0.0111
bob,drop_everything,0.1065
bob,help_after_task,0.1352
bob,pair_up,0.1241
bob,teach,0.1389
bob,quick_tip,0.1509
bob,delegate,0.1287
bob,joke_deflect,0.0991
bob,polite_decline,0.0972
bob,ignore,0.0194
