circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-0.7083,-0.1103,-0.1366,0.1528,0.4111,0.4361
home,-0.8171,-0.1039,-0.1546,0.1593,0.3546,0.4861
conference,-0.6250,-0.1062,-0.1510,0.1880,0.3741,0.4380
