partner,style,share
carol,drop_everything,0.0870
carol,help_after_task,0.1889
carol,pair_up,0.1750
carol,teach,0.1954
carol,quick_tip,0.1926
carol,delegate,0.0981
carol,joke_deflect,0.0556
carol,polite_decline,0.0074
carol,ignore,0.0000
dave,drop_everything,0.1130
dave,help_after_task,0.1556
dave,pair_up,0.1907
dave,teach,0.2000
dave,quick_tip,0.1917
dave,delegate,0.0861
dave,joke_deflect,0.0565
dave,polite_decline,0.0065
dave,ignore,0.0000
bob,drop_everything,0.0963
bob,help_after_task,0.1685
bob,pair_up,0.1926
bob,teach,0.1907
bob,quick_tip,0.2065
bob,delegate,0.0750
bob,joke_deflect,0.0620
bob,polite_decline,0.0083
bob,ignore,0.0000
