circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-1.3403,-0.1171,-0.1337,0.0972,0.2694,0.6333
home,-1.1944,-0.1167,-0.1301,0.1241,0.2741,0.6019
conference,-1.0139,-0.1158,-0.1429,0.1537,0.2870,0.5593
