partner,style,share
carol,drop_everything,0.1389
carol,help_after_task,0.1157
carol,pair_up,0.1537
carol,teach,0.1398
carol,quick_tip,0.1417
carol,delegate,0.1028
carol,joke_deflect,0.1120
carol,polite_decline,0.0843
carol,ignore,0.0111
dave,drop_everything,0.1454
dave,help_after_task,0.1093
dave,pair_up,0.1620
dave,teach,0.1472
dave,quick_tip,0.1352
dave,delegate,0.1176
dave,joke_deflect,0.0898
dave,polite_decline,0.0889
dave,ignore,0.0046
bob,drop_everything,0.1389
bob,help_after_task,0.1037
bob,pair_up,0.1731
bob,teach,0.1315
bob,quick_tip,0.1380
bob,delegate,0.1259
bob,joke_deflect,0.0852
bob,polite_decline,0.0991
bob,ignore,0.0046
