partner,style,share
carol,drop_everything,0.1463
carol,help_after_task,0.1074
carol,pair_up,0.1444
carol,teach,0.1435
carol,quick_tip,0.1491
carol,delegate,0.1046
carol,joke_deflect,0.1157
carol,polite_decline,0.0852
carol,ignore,0.0037
dave,drop_everything,0.1639
dave,help_after_task,0.1167
dave,pair_up,0.1574
dave,teach,0.1278
dave,quick_tip,0.1444
dave,delegate,0.1111
dave,joke_deflect,0.0926
dave,polite_decline,0.0806
dave,ignore,0.0056
bob,drop_everything,0.1537
bob,help_after_task,0.0898
bob,pair_up,0.1769
bob,teach,0.1296
bob,quick_tip,0.1417
bob,delegate,0.1213
bob,joke_deflect,0.0963
bob,polite_decline,0.0861
bob,ignore,0.0046
