circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-1.2130,-0.1023,-0.1731,0.1287,0.2574,0.6139
home,-0.6134,-0.1027,-0.1770,0.1806,0.3935,0.4259
conference,-0.4190,-0.1033,-0.1743,0.2296,0.3731,0.3972
