partner,style,share
carol,drop_everything,0.2009
carol,help_after_task,0.0972
carol,pair_up,0.2361
carol,teach,0.1972
carol,quick_tip,0.1222
carol,delegate,0.0315
carol,joke_deflect,0.1148
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1667
dave,help_after_task,0.0917
dave,pair_up,0.2620
dave,teach,0.2278
dave,quick_tip,0.1093
dave,delegate,0.0213
dave,joke_deflect,0.1213
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1824
bob,help_after_task,0.0991
bob,pair_up,0.2463
bob,teach,0.2194
bob,quick_tip,0.1120
bob,delegate,0.0333
bob,joke_deflect,0.1074
bob,polite_decline,0.0000
bob,ignore,0.0000
