circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-1.9306,-0.1122,-0.1803,0.0676,0.0926,0.8398
home,-0.0509,-0.1125,-0.1852,0.3759,0.2278,0.3963
conference,-0.6551,-0.1109,-0.1804,0.2870,0.1639,0.5491
