circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-0.7593,-0.1116,-0.1389,0.1500,0.3963,0.4537
home,-0.5671,-0.1036,-0.1586,0.1796,0.4139,0.4065
conference,-0.6505,-0.1044,-0.1565,0.1981,0.3435,0.4583
