partner,style,share
carol,drop_everything,0.1287
carol,help_after_task,0.1148
carol,pair_up,0.1833
carol,teach,0.1306
carol,quick_tip,0.1380
carol,delegate,0.1130
carol,joke_deflect,0.0935
carol,polite_decline,0.0889
carol,ignore,0.0093
dave,drop_everything,0.1296
dave,help_after_task,0.1083
dave,pair_up,0.1481
dave,teach,0.1435
dave,quick_tip,0.1500
dave,delegate,0.1185
dave,joke_deflect,0.1056
dave,polite_decline,0.0889
dave,ignore,0.0074
bob,drop_everything,0.1444
bob,help_after_task,0.0944
bob,pair_up,0.1667
bob,teach,0.1509
bob,quick_tip,0.1537
bob,delegate,0.1120
bob,joke_deflect,0.1000
bob,polite_decline,0.0731
bob,ignore,0.0046
