circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-1.1713,-0.1130,-0.1686,0.1417,0.2481,0.6102
home,-0.0833,-0.1017,-0.1708,0.3611,0.2444,0.3944
conference,-0.2037,-0.1093,-0.1553,0.3417,0.2352,0.4231
