circumstance,style,early_pct,late_pct,shift
work,drop_everything,0.1944,0.0648,-0.1296
work,help_after_task,0.0694,0.2130,0.1435
work,pair_up,0.2639,0.2176,-0.0463
work,teach,0.1574,0.3009,0.1435
work,quick_tip,0.1343,0.0926,-0.0417
work,delegate,0.0000,0.0000,0.0000
work,joke_deflect,0.1806,0.1111,-0.0694
work,polite_decline,0.0000,0.0000,0.0000
work,ignore,0.0000,0.0000,0.0000
home,drop_everything,0.2454,0.2083,-0.0370
home,help_after_task,0.0185,0.0000,-0.0185
home,pair_up,0.2315,0.2500,0.0185
home,teach,0.1157,0.1157,0.0000
home,quick_tip,0.1481,0.0880,-0.0602
home,delegate,0.0000,0.0000,0.0000
home,joke_deflect,0.2407,0.3380,0.0972
home,polite_decline,0.0000,0.0000,0.0000
home,ignore,0.0000,0.0000,0.0000
conference,drop_everything,0.1759,0.0972,-0.0787
conference,help_after_task,0.0556,0.0787,0.0231
conference,pair_up,0.2593,0.2222,-0.0370
conference,teach,0.1296,0.1574,0.0278
conference,quick_tip,0.1250,0.1389,0.0139
conference,delegate,0.0000,0.0000,0.0000
conference,joke_deflect,0.2546,0.3056,0.0509
conference,polite_decline,0.0000,0.0000,0.0000
conference,ignore,0.0000,0.0000,0.0000
