partner,style,share
carol,drop_everything,0.1630
carol,help_after_task,0.0667
carol,pair_up,0.2306
carol,teach,0.1981
carol,quick_tip,0.1176
carol,delegate,0.0028
carol,joke_deflect,0.2213
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1648
dave,help_after_task,0.0778
dave,pair_up,0.2380
dave,teach,0.1852
dave,quick_tip,0.1231
dave,delegate,0.0046
dave,joke_deflect,0.2065
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1759
bob,help_after_task,0.0694
bob,pair_up,0.2667
bob,teach,0.1546
bob,quick_tip,0.1056
bob,delegate,0.0009
bob,joke_deflect,0.2269
bob,polite_decline,0.0000
bob,ignore,0.0000
