partner,style,share
carol,drop_everything,0.1509
carol,help_after_task,0.1028
carol,pair_up,0.2093
carol,teach,0.2074
carol,quick_tip,0.2139
carol,delegate,0.0370
carol,joke_deflect,0.0787
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1620
dave,help_after_task,0.1120
dave,pair_up,0.2019
dave,teach,0.1926
dave,quick_tip,0.2176
dave,delegate,0.0343
dave,joke_deflect,0.0796
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1537
bob,help_after_task,0.1185
bob,pair_up,0.2093
bob,teach,0.1944
bob,quick_tip,0.1926
bob,delegate,0.0463
bob,joke_deflect,0.0852
bob,polite_decline,0.0000
bob,ignore,0.0000
