circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-1.2361,-0.1024,-0.1648,0.1074,0.2907,0.6019
home,-0.8264,-0.1029,-0.1574,0.1565,0.3565,0.4870
conference,-0.6088,-0.1021,-0.1607,0.2204,0.3157,0.4639
