partner,style,share
carol,drop_everything,0.1759
carol,help_after_task,0.0972
carol,pair_up,0.2481
carol,teach,0.2296
carol,quick_tip,0.1083
carol,delegate,0.0222
carol,joke_deflect,0.1185
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1648
dave,help_after_task,0.0815
dave,pair_up,0.2704
dave,teach,0.2241
dave,quick_tip,0.1222
dave,delegate,0.0176
dave,joke_deflect,0.1194
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1972
bob,help_after_task,0.0944
bob,pair_up,0.2602
bob,teach,0.2009
bob,quick_tip,0.1083
bob,delegate,0.0194
bob,joke_deflect,0.1194
bob,polite_decline,0.0000
bob,ignore,0.0000
