circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-1.2083,-0.1231,-0.1224,0.1093,0.2981,0.5926
home,-1.0486,-0.1176,-0.1337,0.1343,0.3120,0.5537
conference,-1.0023,-0.1186,-0.1299,0.1435,0.3120,0.5444
