partner,style,share
carol,drop_everything,0.1296
carol,help_after_task,0.1083
carol,pair_up,0.1380
carol,teach,0.1361
carol,quick_tip,0.1472
carol,delegate,0.1426
carol,joke_deflect,0.0935
carol,polite_decline,0.0944
carol,ignore,0.0102
dave,drop_everything,0.1167
dave,help_after_task,0.1028
dave,pair_up,0.1491
dave,teach,0.1426
dave,quick_tip,0.1657
dave,delegate,0.1139
dave,joke_deflect,0.1009
dave,polite_decline,0.0880
dave,ignore,0.0204
bob,drop_everything,0.1361
bob,help_after_task,0.1241
bob,pair_up,0.1343
bob,teach,0.1528
bob,quick_tip,0.1361
bob,delegate,0.1120
bob,joke_deflect,0.0870
bob,polite_decline,0.0907
bob,ignore,0.0269
