partner,style,share
carol,drop_everything,0.1139
carol,help_after_task,0.1426
carol,pair_up,0.1907
carol,teach,0.1944
carol,quick_tip,0.1935
carol,delegate,0.0833
carol,joke_deflect,0.0722
carol,polite_decline,0.0093
carol,ignore,0.0000
dave,drop_everything,0.1093
dave,help_after_task,0.1315
dave,pair_up,0.1815
dave,teach,0.2176
dave,quick_tip,0.2028
dave,delegate,0.0667
dave,joke_deflect,0.0778
dave,polite_decline,0.0130
dave,ignore,0.0000
bob,drop_everything,0.1185
bob,help_after_task,0.1574
bob,pair_up,0.2019
bob,teach,0.1787
bob,quick_tip,0.1852
bob,delegate,0.0667
bob,joke_deflect,0.0769
bob,polite_decline,0.0148
bob,ignore,0.0000
