episode,mask,o,c,e,a,n,norm
18,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18,mask_work,-0.07499,0.52088,-0.06144,-0.40912,0.31935,0.74167
18,mask_home,0.09035,0.36921,0.22424,-0.23808,0.24816,0.55949
18,mask_conference,0.05676,0.48156,0.06950,-0.32674,0.28247,0.65307
19,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
19,mask_work,-0.07616,0.53310,-0.06371,-0.41843,0.32702,0.75900
19,mask_home,0.09189,0.37523,0.22713,-0.24702,0.25437,0.57145
19,mask_conference,0.06382,0.49307,0.07154,-0.32848,0.28805,0.66572
20,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
20,mask_work,-0.07688,0.54432,-0.06566,-0.42683,0.33401,0.77476
20,mask_home,0.09347,0.38051,0.22990,-0.25531,0.25999,0.58238
20,mask_conference,0.07134,0.50331,0.07343,-0.32875,0.29289,0.67651
21,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
21,mask_work,-0.07720,0.55456,-0.06722,-0.43442,0.34032,0.78902
21,mask_home,0.09456,0.38521,0.23198,-0.26365,0.26535,0.59250
21,mask_conference,0.07834,0.51273,0.07528,-0.32888,0.29730,0.68647
22,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
22,mask_work,-0.07701,0.56387,-0.06825,-0.44111,0.34592,0.80173
22,mask_home,0.09523,0.38945,0.23347,-0.27183,0.27045,0.60191
22,mask_conference,0.08487,0.52150,0.07696,-0.32895,0.30133,0.69577
23,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
23,mask_work,-0.07608,0.57247,-0.06854,-0.44661,0.35070,0.81281
23,mask_home,0.09578,0.39301,0.23463,-0.27985,0.27518,0.61051
23,mask_conference,0.09105,0.52964,0.07867,-0.32883,0.30496,0.70436
24,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
24,mask_work,-0.07459,0.58032,-0.06830,-0.45122,0.35481,0.82249
24,mask_home,0.09605,0.39610,0.23538,-0.28778,0.27964,0.61850
24,mask_conference,0.09712,0.53723,0.08068,-0.32828,0.30810,0.71221
25,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
25,mask_work,-0.07260,0.58760,-0.06752,-0.45489,0.35826,0.83089
