episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
103,27,-14.1630,-0.5246,2.3205,2.3893,2.6602
104,27,-22.2930,-0.8257,2.3056,2.3930,2.6473
105,27,-19.6610,-0.7282,2.2941,2.3877,2.6985
106,27,-25.0450,-0.9276,2.3205,2.4015,2.7071
107,27,-9.3850,-0.3476,2.2798,2.4018,2.7082
108,27,5.4110,0.2004,2.3205,2.4189,2.6472
109,27,-29.7450,-1.1017,2.2471,2.4486,2.6018
110,27,-29.9430,-1.1090,2.2547,2.4545,2.6125
111,27,-19.5590,-0.7244,2.2534,2.4432,2.6262
112,27,-35.1350,-1.3013,2.3064,2.4459,2.6165
113,27,-32.7070,-1.2114,2.4460,2.4383,2.6317
114,27,-22.3590,-0.8281,2.4407,2.4153,2.6510
115,27,-12.4010,-0.4593,2.4144,2.4349,2.6110
116,27,-25.2010,-0.9334,2.3894,2.4235,2.6070
117,27,-17.2330,-0.6383,2.3498,2.4052,2.6571
118,27,9.6010,0.3556,2.3296,2.3646,2.6387
119,27,-29.8170,-1.1043,2.4177,2.2863,2.6584
120,27,-29.4330,-1.0901,2.4515,2.3250,2.6730
