circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-0.6458,-0.1082,-0.1544,0.1704,0.4009,0.4287
home,-0.4236,-0.1047,-0.1732,0.1898,0.4509,0.3593
conference,-0.3218,-0.1044,-0.1635,0.2352,0.4009,0.3639
