circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-1.7153,-0.1040,-0.1706,0.0861,0.1417,0.7722
home,-0.1042,-0.1035,-0.1768,0.3657,0.2269,0.4074
conference,-0.4468,-0.1025,-0.1724,0.3102,0.2009,0.4889
