update,episode,circumstance,mask,partner,style,outcome,chosen_regret,o,c,e,a,n,step_o,step_c,step_e,step_a,step_n
38,2,home,mask_home,dave,drop_everything,tolerated,-0.7135,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,-0.000000
39,2,home,mask_home,bob,teach,rejected,-1.6020,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
40,2,home,mask_home,carol,joke_deflect,tolerated,-1.1210,-0.00000,-0.00000,0.00000,0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
41,2,home,mask_home,dave,pair_up,accepted,1.2171,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,-0.000000
42,2,home,mask_home,bob,quick_tip,tolerated,1.0480,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
43,2,home,mask_home,carol,drop_everything,accepted,1.1750,-0.00000,-0.00000,0.00000,0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
44,2,home,mask_home,dave,pair_up,accepted,1.2171,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,-0.000000
45,2,home,mask_home,bob,joke_deflect,rejected,-0.8675,-0.00000,0.00000,0.00000,0.00000,-0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
46,2,conference,mask_conference,carol,joke_deflect,rejected,-1.7923,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.000000,0.000000,-0.000000,0.000000,0.000000
47,2,conference,mask_conference,dave,joke_deflect,accepted,1.7250,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
48,2,conference,mask_conference,bob,joke_deflect,tolerated,0.0991,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
49,2,conference,mask_conference,carol,joke_deflect,tolerated,0.0991,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
50,2,conference,mask_conference,dave,drop_everything,rejected,-2.9002,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
51,2,conference,mask_conference,bob,drop_everything,rejected,-1.8232,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
52,2,conference,mask_conference,carol,teach,accepted,2.4922,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.000000,0.000000,-0.000000,0.000000,0.000000
53,2,conference,mask_conference,dave,drop_everything,rejected,-2.9002,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
54,2,conference,mask_conference,bob,drop_everything,rejected,-1.8232,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
55,3,work,mask_work,carol,pair_up,rejected,-0.9174,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,-0.000000
56,3,work,mask_work,dave,joke_deflect,rejected,-0.8376,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
57,3,work,mask_work,bob,quick_tip,rejected,-0.2826,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,-0.000000
58,3,work,mask_work,carol,drop_everything,rejected,-0.9894,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
59,3,work,mask_work,dave,quick_tip,accepted,4.1864,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
60,3,work,mask_work,bob,pair_up,rejected,-0.4386,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,-0.000000
61,3,work,mask_work,carol,pair_up,rejected,-0.9174,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
62,3,work,mask_work,dave,drop_everything,rejected,-1.0416,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
63,3,work,mask_work,bob,drop_everything,rejected,-0.5106,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,-0.000000
64,3,home,mask_home,carol,pair_up,accepted,1.2470,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.000000,-0.000000,0.000000,0.000000,0.000000
65,3,home,mask_home,dave,teach,tolerated,-1.2769,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,-0.000000
66,3,home,mask_home,bob,drop_everything,tolerated,0.8498,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
67,3,home,mask_home,carol,pair_up,accepted,1.2470,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.000000,-0.000000,0.000000,0.000000,0.000000
68,3,home,mask_home,dave,pair_up,accepted,1.2171,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,-0.000000
69,3,home,mask_home,bob,teach,rejected,-1.2828,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
70,3,home,mask_home,carol,joke_deflect,rejected,-3.0124,-0.00000,0.00000,-0.00000,0.00000,0.00000,0.000000,0.000000,-0.000000,0.000000,0.000000
71,3,home,mask_home,dave,teach,rejected,-3.4308,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
72,3,home,mask_home,bob,drop_everything,tolerated,0.8498,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
73,3,conference,mask_conference,carol,joke_deflect,tolerated,-0.2469,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,-0.000000,0.000000,0.000000
74,3,conference,mask_conference,dave,pair_up,accepted,1.5304,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
75,3,conference,mask_conference,bob,joke_deflect,rejected,-1.2135,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.000000,0.000000,-0.000000,0.000000,0.000000
76,3,conference,mask_conference,carol,help_after_task,rejected,-2.5150,0.00000,0.00000,-0.00000,0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
77,3,conference,mask_conference,dave,pair_up,accepted,1.5304,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,-0.000000
78,3,conference,mask_conference,bob,quick_tip,rejected,-1.2283,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
79,3,conference,mask_conference,carol,pair_up,accepted,1.8436,0.00000,0.00000,0.00000,0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
80,3,conference,mask_conference,dave,joke_deflect,accepted,1.6624,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,0.000000
81,3,conference,mask_conference,bob,teach,tolerated,1.1217,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
82,4,work,mask_work,carol,pair_up,rejected,-0.9174,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
83,4,work,mask_work,dave,pair_up,rejected,-0.9696,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
84,4,work,mask_work,bob,pair_up,rejected,-0.4386,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,-0.000000
85,4,work,mask_work,carol,joke_deflect,rejected,-0.7854,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
86,4,work,mask_work,dave,quick_tip,accepted,4.1864,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
87,4,work,mask_work,bob,drop_everything,rejected,-0.5106,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,-0.000000
88,4,work,mask_work,carol,joke_deflect,rejected,-0.7854,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
89,4,work,mask_work,dave,joke_deflect,rejected,-0.8376,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
90,4,work,mask_work,bob,pair_up,rejected,-0.4386,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,-0.000000
91,4,home,mask_home,carol,drop_everything,accepted,1.3778,-0.00000,0.00000,0.00000,0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
92,4,home,mask_home,dave,help_after_task,rejected,-3.6367,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
93,4,home,mask_home,bob,joke_deflect,rejected,-1.2533,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
94,4,home,mask_home,carol,pair_up,accepted,1.4498,-0.00000,0.00000,0.00000,0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
95,4,home,mask_home,dave,joke_deflect,accepted,1.4953,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
