partner,style,share
carol,drop_everything,0.1167
carol,help_after_task,0.1204
carol,pair_up,0.1269
carol,teach,0.1620
carol,quick_tip,0.1648
carol,delegate,0.1213
carol,joke_deflect,0.0944
carol,polite_decline,0.0806
carol,ignore,0.0130
dave,drop_everything,0.1259
dave,help_after_task,0.1231
dave,pair_up,0.1259
dave,teach,0.1444
dave,quick_tip,0.1546
dave,delegate,0.1398
dave,joke_deflect,0.0935
dave,polite_decline,0.0787
dave,ignore,0.0139
bob,drop_everything,0.1389
bob,help_after_task,0.1194
bob,pair_up,0.1407
bob,teach,0.1380
bob,quick_tip,0.1519
bob,delegate,0.1287
bob,joke_deflect,0.1056
bob,polite_decline,0.0611
bob,ignore,0.0157
