circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-1.2083,-0.1236,-0.1165,0.1019,0.3130,0.5852
home,-0.9884,-0.1182,-0.1292,0.1472,0.3102,0.5426
conference,-0.9491,-0.1187,-0.1305,0.1630,0.2944,0.5426
