partner,style,share
carol,drop_everything,0.1083
carol,help_after_task,0.1250
carol,pair_up,0.1519
carol,teach,0.1352
carol,quick_tip,0.1491
carol,delegate,0.1111
carol,joke_deflect,0.1139
carol,polite_decline,0.0889
carol,ignore,0.0167
dave,drop_everything,0.1111
dave,help_after_task,0.1213
dave,pair_up,0.1306
dave,teach,0.1185
dave,quick_tip,0.1713
dave,delegate,0.1287
dave,joke_deflect,0.1148
dave,polite_decline,0.0806
dave,ignore,0.0231
bob,drop_everything,0.1213
bob,help_after_task,0.1083
bob,pair_up,0.1389
bob,teach,0.1491
bob,quick_tip,0.1639
bob,delegate,0.1250
bob,joke_deflect,0.1019
bob,polite_decline,0.0787
bob,ignore,0.0130
