condition,measure,seed,circumstance,outcome,pct_accepted,pct_rejected
masked,cosine,8,conference,-0.6343,0.1963,0.45
masked,cosine,9,work,-0.6343,0.1574,0.4111
masked,cosine,9,home,-0.6458,0.1685,0.4269
masked,cosine,9,conference,-0.5972,0.1972,0.4361
masked,dot,1,work,-0.6412,0.1731,0.4296
masked,dot,1,home,-0.463,0.1944,0.3796
masked,dot,1,conference,-0.2731,0.2472,0.3565
masked,dot,10,work,-0.6574,0.1806,0.4435
masked,dot,10,home,-0.7153,0.163,0.4491
masked,dot,10,conference,-0.3657,0.2241,0.3704
masked,dot,2,work,-0.7245,0.1574,0.4472
masked,dot,2,home,-0.5046,0.1769,0.3787
masked,dot,2,conference,-0.3634,0.2324,0.3778
masked,dot,3,work,-0.7384,0.1528,0.4481
masked,dot,3,home,-0.5486,0.1824,0.4019
masked,dot,3,conference,-0.2824,0.2463,0.3593
masked,dot,4,work,-0.7292,0.1537,0.4454
masked,dot,4,home,-0.4838,0.188,0.3815
masked,dot,4,conference,-0.3866,0.2269,0.3815
masked,dot,5,work,-0.7639,0.1657,0.4713
masked,dot,5,home,-0.5648,0.1815,0.4074
masked,dot,5,conference,-0.2917,0.2546,0.3713
masked,dot,6,work,-0.7083,0.175,0.4583
masked,dot,6,home,-0.4653,0.1898,0.3759
masked,dot,6,conference,-0.2685,0.2454,0.3528
masked,dot,7,work,-0.6042,0.1861,0.4278
masked,dot,7,home,-0.4028,0.1991,0.3602
masked,dot,7,conference,-0.3519,0.2241,0.3648
masked,dot,8,work,-0.6551,0.1824,0.4444
masked,dot,8,home,-0.5046,0.1954,0.3972
masked,dot,8,conference,-0.3611,0.2287,0.3731
masked,dot,9,work,-0.7569,0.1602,0.463
masked,dot,9,home,-0.4583,0.1981,0.3815
masked,dot,9,conference,-0.25,0.2472,0.3472
masked,l1,1,work,-1.1481,0.112,0.5713
masked,l1,1,home,-1.0093,0.137,0.5407
masked,l1,1,conference,-1.0023,0.1491,0.55
masked,l1,10,work,-1.2454,0.1,0.5981
masked,l1,10,home,-1.213,0.1074,0.5926
masked,l1,10,conference,-0.9815,0.1583,0.5509
masked,l1,2,work,-1.1042,0.1315,0.5731
masked,l1,2,home,-1.1644,0.1213,0.587
masked,l1,2,conference,-1.1412,0.1278,0.5843
masked,l1,3,work,-1.1366,0.112,0.5667
masked,l1,3,home,-1.1157,0.1241,0.5704
masked,l1,3,conference,-0.9282,0.1667,0.538
masked,l1,4,work,-1.2454,0.1,0.5981
masked,l1,4,home,-1.081,0.1352,0.5676
masked,l1,4,conference,-0.9861,0.162,0.5565
masked,l1,5,work,-1.1458,0.113,0.5713
masked,l1,5,home,-1.1481,0.1259,0.5852
masked,l1,5,conference,-0.9306,0.1731,0.5454
masked,l1,6,work,-1.2083,0.1093,0.5926
masked,l1,6,home,-1.0486,0.1343,0.5537
masked,l1,6,conference,-1.0023,0.1435,0.5444
masked,l1,7,work,-1.0972,0.1204,0.5593
masked,l1,7,home,-1.1065,0.1361,0.5787
masked,l1,7,conference,-0.9977,0.15,0.5491
masked,l1,8,work,-1.0949,0.1213,0.5593
masked,l1,8,home,-1.1944,0.1167,0.5944
masked,l1,8,conference,-0.9676,0.1556,0.5426
masked,l1,9,work,-1.2083,0.1019,0.5852
masked,l1,9,home,-0.9884,0.1472,0.5426
masked,l1,9,conference,-0.9491,0.163,0.5426
