circumstance,style,early_pct,late_pct,shift
work,deep_work,0.2083,0.3194,0.1111
work,handle_backlog,0.0370,0.0972,0.0602
work,quick_scan,0.0093,0.0000,-0.0093
work,tidy_up,0.1111,0.1389,0.0278
work,rest_deeply,0.1065,0.0880,-0.0185
work,zone_out,0.0000,0.0000,0.0000
work,take_notes,0.2130,0.2315,0.0185
work,network_actively,0.3148,0.1250,-0.1898
work,step_away,0.0000,0.0000,0.0000
home,deep_work,0.0880,0.0185,-0.0694
home,handle_backlog,0.0000,0.0000,0.0000
home,quick_scan,0.0833,0.0648,-0.0185
home,tidy_up,0.1111,0.0880,-0.0231
home,rest_deeply,0.2176,0.4306,0.2130
home,zone_out,0.0231,0.1991,0.1759
home,take_notes,0.0787,0.0000,-0.0787
home,network_actively,0.3981,0.1481,-0.2500
home,step_away,0.0000,0.0509,0.0509
conference,deep_work,0.0139,0.0324,0.0185
conference,handle_backlog,0.0000,0.0000,0.0000
conference,quick_scan,0.1620,0.1713,0.0093
conference,tidy_up,0.0231,0.0093,-0.0139
conference,rest_deeply,0.0787,0.0556,-0.0231
conference,zone_out,0.0000,0.0000,0.0000
conference,take_notes,0.0370,0.0556,0.0185
conference,network_actively,0.6852,0.6759,-0.0093
conference,step_away,0.0000,0.0000,0.0000
