circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,0.0370,-0.1602,-0.1991,0.4389,0.0000,0.5611
home,0.3090,-0.1377,-0.1022,0.4972,0.0000,0.5028
conference,1.3704,-0.0872,-0.1927,0.7176,0.0000,0.2824
