circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-0.7639,-0.1049,-0.1662,0.1657,0.3630,0.4713
home,-0.5648,-0.1040,-0.1746,0.1815,0.4111,0.4074
conference,-0.2917,-0.1038,-0.1653,0.2546,0.3741,0.3713
