partner,style,share
carol,drop_everything,0.1222
carol,help_after_task,0.1148
carol,pair_up,0.1204
carol,teach,0.1241
carol,quick_tip,0.1741
carol,delegate,0.1426
carol,joke_deflect,0.0935
carol,polite_decline,0.0926
carol,ignore,0.0157
dave,drop_everything,0.1065
dave,help_after_task,0.1463
dave,pair_up,0.1250
dave,teach,0.1324
dave,quick_tip,0.1417
dave,delegate,0.1463
dave,joke_deflect,0.1093
dave,polite_decline,0.0796
dave,ignore,0.0130
bob,drop_everything,0.1278
bob,help_after_task,0.1259
bob,pair_up,0.1407
bob,teach,0.1426
bob,quick_tip,0.1380
bob,delegate,0.1130
bob,joke_deflect,0.1019
bob,polite_decline,0.0898
bob,ignore,0.0204
