circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-1.2338,-0.1153,-0.1338,0.1176,0.2713,0.6111
home,-1.0417,-0.1157,-0.1389,0.1269,0.3296,0.5435
conference,-1.0301,-0.1173,-0.1345,0.1463,0.2954,0.5583
