partner,style,share
carol,drop_everything,0.1611
carol,help_after_task,0.1102
carol,pair_up,0.1444
carol,teach,0.1389
carol,quick_tip,0.1343
carol,delegate,0.1167
carol,joke_deflect,0.1019
carol,polite_decline,0.0880
carol,ignore,0.0046
dave,drop_everything,0.1269
dave,help_after_task,0.1019
dave,pair_up,0.1519
dave,teach,0.1630
dave,quick_tip,0.1620
dave,delegate,0.1102
dave,joke_deflect,0.0787
dave,polite_decline,0.1019
dave,ignore,0.0037
bob,drop_everything,0.1454
bob,help_after_task,0.1093
bob,pair_up,0.1546
bob,teach,0.1472
bob,quick_tip,0.1472
bob,delegate,0.1019
bob,joke_deflect,0.1037
bob,polite_decline,0.0852
bob,ignore,0.0056
