partner,style,share
carol,drop_everything,0.1685
carol,help_after_task,0.0944
carol,pair_up,0.2759
carol,teach,0.2250
carol,quick_tip,0.1093
carol,delegate,0.0204
carol,joke_deflect,0.1065
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1843
dave,help_after_task,0.0972
dave,pair_up,0.2537
dave,teach,0.2204
dave,quick_tip,0.1120
dave,delegate,0.0204
dave,joke_deflect,0.1120
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1880
bob,help_after_task,0.1102
bob,pair_up,0.2519
bob,teach,0.2259
bob,quick_tip,0.1037
bob,delegate,0.0250
bob,joke_deflect,0.0954
bob,polite_decline,0.0000
bob,ignore,0.0000
