partner,style,share
carol,drop_everything,0.1213
carol,help_after_task,0.1398
carol,pair_up,0.2250
carol,teach,0.2343
carol,quick_tip,0.1130
carol,delegate,0.0546
carol,joke_deflect,0.1009
carol,polite_decline,0.0111
carol,ignore,0.0000
dave,drop_everything,0.1370
dave,help_after_task,0.1500
dave,pair_up,0.2269
dave,teach,0.2389
dave,quick_tip,0.0991
dave,delegate,0.0472
dave,joke_deflect,0.0944
dave,polite_decline,0.0065
dave,ignore,0.0000
bob,drop_everything,0.1204
bob,help_after_task,0.1315
bob,pair_up,0.2407
bob,teach,0.2426
bob,quick_tip,0.1167
bob,delegate,0.0463
bob,joke_deflect,0.0954
bob,polite_decline,0.0065
bob,ignore,0.0000
