episode,agent,context,formal,casual,enthusiastic,quiet,entropy
3000,dave,default,0.0081,0.8194,0.1645,0.0081,0.3880
3500,alice,work,0.9937,0.0045,0.0013,0.0004,0.0311
3500,alice,home,0.0004,0.9983,0.0009,0.0004,0.0105
3500,alice,concert,0.0004,0.0007,0.9985,0.0004,0.0094
3500,alice,default,0.0086,0.8686,0.1141,0.0086,0.3260
3500,bob,work,0.9972,0.0018,0.0005,0.0005,0.0155
3500,bob,home,0.0005,0.9951,0.0004,0.0040,0.0247
3500,bob,concert,0.0004,0.0011,0.9981,0.0004,0.0115
3500,bob,default,0.0074,0.8876,0.0977,0.0074,0.2924
3500,carol,work,0.9876,0.0115,0.0004,0.0004,0.0508
3500,carol,home,0.0004,0.9970,0.0021,0.0004,0.0166
3500,carol,concert,0.0004,0.0013,0.9979,0.0004,0.0122
3500,carol,default,0.0058,0.8647,0.1236,0.0058,0.3202
3500,dave,work,0.9895,0.0097,0.0004,0.0004,0.0449
3500,dave,home,0.0005,0.9968,0.0022,0.0005,0.0173
3500,dave,concert,0.0004,0.0013,0.9979,0.0004,0.0123
3500,dave,default,0.0074,0.8353,0.1500,0.0074,0.3658
4000,alice,work,0.9945,0.0039,0.0012,0.0004,0.0276
4000,alice,home,0.0004,0.9985,0.0008,0.0004,0.0094
4000,alice,concert,0.0004,0.0006,0.9987,0.0004,0.0084
4000,alice,default,0.0071,0.8912,0.0946,0.0071,0.2859
4000,bob,work,0.9976,0.0016,0.0004,0.0004,0.0138
4000,bob,home,0.0005,0.9956,0.0004,0.0035,0.0223
4000,bob,concert,0.0004,0.0010,0.9983,0.0004,0.0103
4000,bob,default,0.0064,0.9020,0.0852,0.0064,0.2652
4000,carol,work,0.9895,0.0098,0.0004,0.0004,0.0445
4000,carol,home,0.0004,0.9974,0.0018,0.0004,0.0146
4000,carol,concert,0.0004,0.0011,0.9981,0.0004,0.0110
4000,carol,default,0.0054,0.8736,0.1156,0.0054,0.3060
4000,dave,work,0.9908,0.0084,0.0004,0.0004,0.0399
4000,dave,home,0.0004,0.9972,0.0019,0.0004,0.0153
4000,dave,concert,0.0004,0.0011,0.9981,0.0004,0.0110
4000,dave,default,0.0063,0.8600,0.1275,0.0063,0.3287
4500,alice,work,0.9951,0.0035,0.0010,0.0004,0.0251
4500,alice,home,0.0003,0.9986,0.0007,0.0003,0.0086
4500,alice,concert,0.0003,0.0005,0.9988,0.0003,0.0076
