episode,mask,o,c,e,a,n,norm
31,mask_rested,-0.15475,0.11054,-0.17686,-0.19897,-0.22108,0.39486
32,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
32,mask_depleted,-0.04653,0.41878,-0.46531,-0.32572,-0.46531,0.84656
32,mask_rested,-0.17037,0.12170,-0.19471,-0.21905,-0.24339,0.43471
33,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
33,mask_depleted,-0.04681,0.42128,-0.46809,-0.32766,-0.46809,0.85161
33,mask_rested,-0.18474,0.13196,-0.21114,-0.23753,-0.26392,0.47137
34,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
34,mask_depleted,-0.04706,0.42358,-0.47064,-0.32945,-0.47064,0.85625
34,mask_rested,-0.19796,0.14140,-0.22624,-0.25453,-0.28281,0.50511
35,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
35,mask_depleted,-0.04730,0.42569,-0.47299,-0.33109,-0.47299,0.86053
35,mask_rested,-0.21013,0.15009,-0.24015,-0.27016,-0.30018,0.53614
36,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
36,mask_depleted,-0.04751,0.42763,-0.47515,-0.33260,-0.47515,0.86446
36,mask_rested,-0.22132,0.15808,-0.25293,-0.28455,-0.31617,0.56469
37,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
37,mask_depleted,-0.04771,0.42942,-0.47714,-0.33400,-0.47714,0.86808
37,mask_rested,-0.23161,0.16544,-0.26470,-0.29779,-0.33087,0.59096
38,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
38,mask_depleted,-0.04790,0.43107,-0.47897,-0.33528,-0.47897,0.87140
38,mask_rested,-0.24108,0.17220,-0.27552,-0.30996,-0.34440,0.61512
39,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
39,mask_depleted,-0.04806,0.43258,-0.48065,-0.33645,-0.48065,0.87446
39,mask_rested,-0.24980,0.17843,-0.28548,-0.32117,-0.35685,0.63736
40,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
40,mask_depleted,-0.04822,0.43398,-0.48220,-0.33754,-0.48220,0.87728
40,mask_rested,-0.25781,0.18415,-0.29464,-0.33147,-0.36830,0.65781
41,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
41,mask_depleted,-0.04836,0.43526,-0.48362,-0.33854,-0.48362,0.87987
41,mask_rested,-0.26519,0.18942,-0.30307,-0.34096,-0.37884,0.67663
42,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
42,mask_depleted,-0.04849,0.43644,-0.48493,-0.33945,-0.48493,0.88226
42,mask_rested,-0.27197,0.19427,-0.31083,-0.34968,-0.38853,0.69394
43,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
43,mask_depleted,-0.04861,0.43752,-0.48614,-0.34030,-0.48614,0.88445
43,mask_rested,-0.27821,0.19872,-0.31796,-0.35770,-0.39745,0.70987
44,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
44,mask_depleted,-0.04872,0.43852,-0.48725,-0.34107,-0.48725,0.88647
44,mask_rested,-0.28396,0.20283,-0.32452,-0.36509,-0.40565,0.72452
45,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
45,mask_depleted,-0.04883,0.43944,-0.48827,-0.34179,-0.48827,0.88832
45,mask_rested,-0.28924,0.20660,-0.33056,-0.37188,-0.41320,0.73800
46,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
46,mask_depleted,-0.04892,0.44028,-0.48921,-0.34244,-0.48921,0.89003
46,mask_rested,-0.29410,0.21007,-0.33612,-0.37813,-0.42014,0.75040
47,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
47,mask_depleted,-0.04901,0.44106,-0.49007,-0.34305,-0.49007,0.89160
47,mask_rested,-0.29857,0.21327,-0.34123,-0.38388,-0.42653,0.76181
48,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
48,mask_depleted,-0.04909,0.44178,-0.49086,-0.34360,-0.49086,0.89305
48,mask_rested,-0.30269,0.21621,-0.34593,-0.38917,-0.43241,0.77231
49,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
49,mask_depleted,-0.04916,0.44243,-0.49159,-0.34412,-0.49159,0.89438
49,mask_rested,-0.30647,0.21891,-0.35025,-0.39404,-0.43782,0.78197
50,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
50,mask_depleted,-0.04923,0.44304,-0.49227,-0.34459,-0.49227,0.89560
50,mask_rested,-0.30995,0.22140,-0.35423,-0.39851,-0.44279,0.79085
51,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
51,mask_depleted,-0.04929,0.44360,-0.49289,-0.34502,-0.49289,0.89673
51,mask_rested,-0.31316,0.22368,-0.35790,-0.40263,-0.44737,0.79903
52,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
52,mask_depleted,-0.04935,0.44411,-0.49345,-0.34542,-0.49345,0.89776
52,mask_rested,-0.31611,0.22579,-0.36126,-0.40642,-0.45158,0.80655
53,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
53,mask_depleted,-0.04940,0.44458,-0.49398,-0.34578,-0.49398,0.89871
53,mask_rested,-0.31882,0.22773,-0.36436,-0.40991,-0.45545,0.81347
54,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
54,mask_depleted,-0.04945,0.44501,-0.49446,-0.34612,-0.49446,0.89959
54,mask_rested,-0.32131,0.22951,-0.36721,-0.41312,-0.45902,0.81983
55,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
55,mask_depleted,-0.04949,0.44541,-0.49490,-0.34643,-0.49490,0.90040
55,mask_rested,-0.32361,0.23115,-0.36984,-0.41607,-0.46230,0.82569
56,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
56,mask_depleted,-0.04953,0.44578,-0.49531,-0.34672,-0.49531,0.90114
56,mask_rested,-0.32572,0.23266,-0.37225,-0.41878,-0.46531,0.83107
57,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
57,mask_depleted,-0.04957,0.44612,-0.49569,-0.34698,-0.49569,0.90182
57,mask_rested,-0.32766,0.23404,-0.37447,-0.42128,-0.46809,0.83603
58,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
58,mask_depleted,-0.04960,0.44643,-0.49603,-0.34722,-0.49603,0.90245
58,mask_rested,-0.32945,0.23532,-0.37651,-0.42358,-0.47064,0.84059
59,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
59,mask_depleted,-0.04963,0.44671,-0.49635,-0.34744,-0.49635,0.90303
59,mask_rested,-0.33109,0.23649,-0.37839,-0.42569,-0.47299,0.84478
60,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
60,mask_depleted,-0.04966,0.44698,-0.49664,-0.34765,-0.49664,0.90356
60,mask_rested,-0.33260,0.23757,-0.38012,-0.42763,-0.47515,0.84864
61,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
61,mask_depleted,-0.04969,0.44722,-0.49691,-0.34784,-0.49691,0.90405
61,mask_rested,-0.33400,0.23857,-0.38171,-0.42942,-0.47714,0.85220
62,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
62,mask_depleted,-0.04972,0.44744,-0.49716,-0.34801,-0.49716,0.90450
62,mask_rested,-0.33528,0.23948,-0.38317,-0.43107,-0.47897,0.85546
63,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
63,mask_depleted,-0.04974,0.44765,-0.49738,-0.34817,-0.49738,0.90491
63,mask_rested,-0.33645,0.24032,-0.38452,-0.43258,-0.48065,0.85847
64,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
64,mask_depleted,-0.04976,0.44783,-0.49759,-0.34832,-0.49759,0.90529
64,mask_rested,-0.33754,0.24110,-0.38576,-0.43398,-0.48220,0.86123
65,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
65,mask_depleted,-0.04978,0.44801,-0.49779,-0.34845,-0.49779,0.90564
65,mask_rested,-0.33854,0.24181,-0.38690,-0.43526,-0.48362,0.86378
66,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
66,mask_depleted,-0.04980,0.44817,-0.49796,-0.34857,-0.49796,0.90596
66,mask_rested,-0.33945,0.24247,-0.38795,-0.43644,-0.48493,0.86612
67,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
67,mask_depleted,-0.04981,0.44831,-0.49813,-0.34869,-0.49813,0.90626
67,mask_rested,-0.34030,0.24307,-0.38891,-0.43752,-0.48614,0.86827
68,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
68,mask_depleted,-0.04983,0.44845,-0.49828,-0.34879,-0.49828,0.90653
68,mask_rested,-0.34107,0.24362,-0.38980,-0.43852,-0.48725,0.87025
69,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
69,mask_depleted,-0.04984,0.44857,-0.49841,-0.34889,-0.49841,0.90678
69,mask_rested,-0.34179,0.24413,-0.39061,-0.43944,-0.48827,0.87207
70,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
70,mask_depleted,-0.04985,0.44869,-0.49854,-0.34898,-0.49854,0.90702
70,mask_rested,-0.34244,0.24460,-0.39136,-0.44028,-0.48921,0.87375
71,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
71,mask_depleted,-0.04987,0.44879,-0.49866,-0.34906,-0.49866,0.90723
71,mask_rested,-0.34305,0.24503,-0.39206,-0.44106,-0.49007,0.87529
72,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
72,mask_depleted,-0.04988,0.44889,-0.49876,-0.34914,-0.49876,0.90742
72,mask_rested,-0.34360,0.24543,-0.39269,-0.44178,-0.49086,0.87671
73,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
73,mask_depleted,-0.04989,0.44898,-0.49886,-0.34920,-0.49886,0.90760
73,mask_rested,-0.34412,0.24580,-0.39328,-0.44243,-0.49159,0.87802
74,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
74,mask_depleted,-0.04990,0.44906,-0.49895,-0.34927,-0.49895,0.90777
74,mask_rested,-0.34459,0.24613,-0.39381,-0.44304,-0.49227,0.87922
75,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
75,mask_depleted,-0.04990,0.44913,-0.49904,-0.34933,-0.49904,0.90792
75,mask_rested,-0.34502,0.24644,-0.39431,-0.44360,-0.49289,0.88032
76,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
76,mask_depleted,-0.04991,0.44920,-0.49912,-0.34938,-0.49912,0.90806
76,mask_rested,-0.34542,0.24673,-0.39476,-0.44411,-0.49345,0.88134
77,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
77,mask_depleted,-0.04992,0.44927,-0.49919,-0.34943,-0.49919,0.90819
77,mask_rested,-0.34578,0.24699,-0.39518,-0.44458,-0.49398,0.88227
78,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
78,mask_depleted,-0.04993,0.44933,-0.49925,-0.34948,-0.49925,0.90831
78,mask_rested,-0.34612,0.24723,-0.39557,-0.44501,-0.49446,0.88313
79,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
79,mask_depleted,-0.04993,0.44938,-0.49931,-0.34952,-0.49931,0.90842
79,mask_rested,-0.34643,0.24745,-0.39592,-0.44541,-0.49490,0.88393
80,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
80,mask_depleted,-0.04994,0.44943,-0.49937,-0.34956,-0.49937,0.90852
80,mask_rested,-0.34672,0.24766,-0.39625,-0.44578,-0.49531,0.88465
81,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
81,mask_depleted,-0.04994,0.44948,-0.49942,-0.34959,-0.49942,0.90861
81,mask_rested,-0.34698,0.24784,-0.39655,-0.44612,-0.49569,0.88532
82,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
82,mask_depleted,-0.04995,0.44952,-0.49946,-0.34962,-0.49946,0.90869
82,mask_rested,-0.34722,0.24802,-0.39682,-0.44643,-0.49603,0.88594
83,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
83,mask_depleted,-0.04995,0.44956,-0.49951,-0.34965,-0.49951,0.90877
83,mask_rested,-0.34744,0.24817,-0.39708,-0.44671,-0.49635,0.88651
84,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
84,mask_depleted,-0.04995,0.44959,-0.49955,-0.34968,-0.49955,0.90884
84,mask_rested,-0.34765,0.24832,-0.39731,-0.44698,-0.49664,0.88703
85,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
85,mask_depleted,-0.04996,0.44962,-0.49958,-0.34971,-0.49958,0.90891
85,mask_rested,-0.34784,0.24845,-0.39753,-0.44722,-0.49691,0.88751
86,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
86,mask_depleted,-0.04996,0.44965,-0.49962,-0.34973,-0.49962,0.90897
86,mask_rested,-0.34801,0.24858,-0.39773,-0.44744,-0.49716,0.88795
87,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
87,mask_depleted,-0.04996,0.44968,-0.49965,-0.34975,-0.49965,0.90903
87,mask_rested,-0.34817,0.24869,-0.39791,-0.44765,-0.49738,0.88836
88,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
88,mask_depleted,-0.04997,0.44971,-0.49967,-0.34977,-0.49967,0.90908
