partner,style,share
carol,drop_everything,0.1546
carol,help_after_task,0.1093
carol,pair_up,0.1963
carol,teach,0.1787
carol,quick_tip,0.2185
carol,delegate,0.0509
carol,joke_deflect,0.0917
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1565
dave,help_after_task,0.1139
dave,pair_up,0.2065
dave,teach,0.1778
dave,quick_tip,0.2167
dave,delegate,0.0380
dave,joke_deflect,0.0907
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1565
bob,help_after_task,0.0981
bob,pair_up,0.2167
bob,teach,0.1750
bob,quick_tip,0.2130
bob,delegate,0.0481
bob,joke_deflect,0.0926
bob,polite_decline,0.0000
bob,ignore,0.0000
